Name,Affinity
dds5_enamine31990,-7.95
ab_enamine4984,-6.814
psl_enamine3911,-6.463
ab_enamine25447,-7.903
dds5_enamine27925,-8.067
dds5_enamine49499,-8.108
dds5_enamine34046,-8.8
ab_enamine5675,-7.185
ab_enamine1888,-7.647
dds5_enamine30593,-7.949
dds1_enamine5200,-7.115
hinge_enamine23840,-8.668
dds5_enamine45791,-8.556
dds1_enamine5577,-7.722
ab_enamine21152,-7.215
psl_enamine5356,-7.699
dds5_enamine34555,-6.964
dds5_enamine194,-6.95
dds5_enamine41908,-7.371
ab_enamine26677,-8.365
hinge_enamine18695,-7.502
fda_enamine395,-6.211
hinge_enamine6988,-7.78
dds1_enamine1614,-7.751
ab_enamine23021,-8.403
ab_enamine21370,-7.389
dds1_enamine6563,-6.883
ab_enamine25216,-6.849
hinge_enamine1160,-8.456
hinge_enamine605,-7.379
ab_enamine22616,-7.373
ab_enamine11919,-7.821
ab_enamine21150,-7.457
ab_enamine25312,-6.408
ab_enamine20115,-7.636
ab_enamine28809,-6.545
hinge_enamine6145,-7.657
dds5_enamine13549,-7.184
ab_enamine4879,-7.259
dds5_enamine4431,-7.471
dds5_enamine6000,-9.559
hinge_enamine7291,-7.64
dds5_enamine17780,-7.135
dds5_enamine8943,-7.681
dds5_enamine30287,-6.716
dds1_enamine4809,-7.925
dds5_enamine14026,-6.822
dds5_enamine50003,-7.913
dds5_enamine15533,-7.372
hinge_enamine1156,-6.993
dds1_enamine4910,-6.712
dds5_enamine26125,-6.582
ab_enamine27264,-8.065
dds1_enamine5166,-7.166
dds5_enamine30856,-6.328
ab_enamine726,-6.813
hinge_enamine4177,-8.239
dds5_enamine12580,-7.491
hinge_enamine19721,-7.866
ab_enamine23791,-8.021
dds5_enamine9459,-7.33
dds5_enamine11270,-6.784
dds5_enamine3385,-7.196
dds5_enamine36018,-7.991
ab_enamine19018,-8.001
dds5_enamine33281,-6.693
dds5_enamine36527,-7.282
dds5_enamine24312,-8.061
ab_enamine27790,-6.145
ab_enamine24658,-8.452
dds5_enamine17393,-8.087
hinge_enamine19290,-7.341
hinge_enamine10072,-9.003
dds1_enamine2743,-7.324
ab_enamine26522,-7.634
ab_enamine21488,-7.261
ab_enamine26488,-7.159
dds5_enamine39599,-7.5
dds1_enamine8196,-7.105
dds5_enamine46733,-8.027
ab_enamine13279,-7.408
dds1_enamine3210,-7.087
ab_enamine6325,-7.31
dds5_enamine10886,-7.602
dds1_enamine6458,-8.06
hinge_enamine9607,-8.427
ab_enamine9568,-8.326
dds5_enamine43315,-7.014
ab_enamine7677,-7.79
dds5_enamine46794,-7.547
ab_enamine5813,-6.465
dds5_enamine29767,-6.929
hinge_enamine23380,-8.566
hinge_enamine15988,-7.406
dds5_enamine49470,-7.649
dds5_enamine30306,-6.811
ab_enamine26765,-7.985
hinge_enamine15895,-6.989
dds5_enamine33263,-6.741
psl_enamine1250,-8.224
ab_enamine28298,-8.258
hinge_enamine12372,-7.494
ab_enamine9115,-7.108
ab_enamine16925,-7.085
psl_enamine3706,-7.23
hinge_enamine13181,-7.005
psl_enamine1580,-8.274
dds5_enamine5076,-7.025
dds5_enamine45742,-6.162
hinge_enamine20965,-6.919
ab_enamine24348,-8.446
dds5_enamine21744,-8.318
dds5_enamine22412,-6.543
ab_enamine27767,-8.509
ab_enamine17760,-6.907
ab_enamine11595,-6.422
dds5_enamine9432,-8.288
hinge_enamine7977,-6.144
ab_enamine9699,-7.584
dds5_enamine30742,-7.791
ab_enamine7980,-7.167
ab_enamine23368,-7.377
hinge_enamine5354,-8.556
dds5_enamine33808,-6.608
ab_enamine14701,-7.523
dds5_enamine17165,-7.364
dds5_enamine44777,-8.101
hinge_enamine17069,-8.158
dds5_enamine29197,-6.665
dds1_enamine6790,-6.801
dds5_enamine4847,-7.337
